VAR_ID,Description,,VAR_FRED_ID
M_EXPINF10YR,10-Year Expected Inflation,,M_FRED_EXPINF10YR
M_EXPINF1YR,1-Year Expected Inflation,,M_FRED_EXPINF1YR
M_EXPINF2YR,2-Year Expected Inflation,,M_FRED_EXPINF2YR
M_EXSDUS,Swedish Kronor to U.S. Dollar Spot Exchange Rate,,M_FRED_EXSDUS
M_EXSFUS,South African Rand to U.S. Dollar Spot Exchange Rate,,M_FRED_EXSFUS
M_EXSIUS,Singapore Dollars to U.S. Dollar Spot Exchange Rate,,M_FRED_EXSIUS
M_EXSLUS,Sri Lankan Rupees to U.S. Dollar Spot Exchange Rate,,M_FRED_EXSLUS
M_EXSZUS,Swiss Francs to U.S. Dollar Spot Exchange Rate,,M_FRED_EXSZUS
M_EXTAUS,Taiwan Dollars to U.S. Dollar Spot Exchange Rate,,M_FRED_EXTAUS
M_EXTHUS,Thai Baht to U.S. Dollar Spot Exchange Rate,,M_FRED_EXTHUS
M_EXUSAL,U.S. Dollars to Australian Dollar Spot Exchange Rate,,M_FRED_EXUSAL
M_EXUSEU,U.S. Dollars to Euro Spot Exchange Rate,,M_FRED_EXUSEU
M_EXUSNZ,U.S. Dollars to New Zealand Dollar Spot Exchange Rate,,M_FRED_EXUSNZ
M_EXUSUK,U.S. Dollars to U.K. Pound Sterling Spot Exchange Rate,,M_FRED_EXUSUK
M_EXVZUS,Venezuelan Bolivares to U.S. Dollar Spot Exchange Rate,,M_FRED_EXVZUS
M_FEDFUNDS,Federal Funds Effective Rate,,M_FRED_FEDFUNDS
M_FII10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity,Quoted on an Investment Basis, Inflation-Indexed",,M_FRED_FII10
M_FII30,"Market Yield on U.S. Treasury Securities at 30-Year Constant Maturity,Quoted on an Investment Basis, Inflation-Indexed",,M_FRED_FII30
M_FII5,"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity,Quoted on an Investment Basis, Inflation-Indexed",,M_FRED_FII5
